측정년도,측정월,측정소,초미세먼지,미세먼지,일산화탄소,오존,이산화질소,아황산가스
2010,1,중구,21,58,1.0,0.011,0.043,0.007
2010,2,중구,27,50,0.8,0.014,0.039,0.005
2010,3,중구,34,65,0.7,0.022,0.035,0.005
2010,4,중구,26,51,0.7,0.024,0.041,0.004
2010,5,중구,26,57,0.7,0.028,0.039,0.004
2010,6,중구,24,48,0.6,0.029,0.037,0.004
2010,7,중구,18,30,0.6,0.017,0.028,0.003
2010,8,중구,21,31,0.7,0.015,0.027,0.004
2010,9,중구,14,25,0.5,0.013,0.025,0.004
2010,10,중구,23,40,0.6,0.013,0.031,0.004
2010,11,중구,18,70,0.9,0.011,0.03,0.006
2010,12,중구,23,63,0.8,0.01,0.026,0.006
2011,1,중구,21,43,0.8,0.014,0.022,0.007
2011,2,중구,27,72,0.9,0.012,0.039,0.007
2011,3,중구,34,65,0.5,0.025,0.032,0.006
2011,4,중구,26,54,0.6,0.026,0.044,0.005
2011,5,중구,26,74,0.6,0.022,0.042,0.004
2011,6,중구,24,44,0.6,0.026,0.035,0.003
2011,7,중구,18,28,0.5,0.014,0.03,0.002
2011,8,중구,21,26,0.4,0.013,0.027,0.002
2011,9,중구,14,30,0.4,0.018,0.03,0.004
2011,10,중구,23,42,0.5,0.014,0.04,0.005
2011,11,중구,18,38,0.5,0.012,0.038,0.006
2011,12,중구,23,46,0.7,0.014,0.033,0.007
2012,1,중구,21,60,0.7,0.01,0.032,0.009
2012,2,중구,27,50,0.8,0.014,0.029,0.007
2012,3,중구,34,44,0.4,0.023,0.029,0.006
2012,4,중구,26,54,0.4,0.023,0.04,0.006
2012,5,중구,26,50,0.4,0.034,0.031,0.006
2012,6,중구,24,36,0.4,0.034,0.025,0.004
2012,7,중구,18,24,0.3,0.019,0.02,0.002
2012,8,중구,21,19,0.4,0.021,0.019,0.002
2012,9,중구,14,24,0.4,0.019,0.027,0.004
2012,10,중구,23,30,0.4,0.016,0.034,0.006
2012,11,중구,18,38,0.5,0.012,0.035,0.006
2012,12,중구,23,37,0.7,0.012,0.035,0.007
2013,1,중구,21,56,0.8,0.012,0.043,0.009
2013,2,중구,27,39,0.6,0.021,0.038,0.006
2013,3,중구,34,49,0.4,0.022,0.039,0.006
2013,4,중구,26,51,0.5,0.028,0.042,0.006
2013,5,중구,26,56,0.5,0.032,0.048,0.005
2013,6,중구,24,40,0.4,0.033,0.039,0.003
2013,7,중구,18,35,0.4,0.021,0.031,0.003
2013,8,중구,21,36,0.3,0.023,0.033,0.004
2013,9,중구,14,28,0.2,0.019,0.037,0.004
2013,10,중구,23,30,0.5,0.014,0.038,0.006
2013,11,중구,18,43,0.8,0.013,0.041,0.008
2013,12,중구,23,54,0.8,0.012,0.045,0.009
2014,1,중구,21,57,0.6,0.01,0.043,0.008
2014,2,중구,27,57,0.6,0.018,0.041,0.007
2014,3,중구,34,61,0.5,0.02,0.04,0.008
2014,4,중구,26,57,0.5,0.025,0.044,0.007
2014,5,중구,26,63,0.5,0.037,0.038,0.007
2014,6,중구,24,38,0.2,0.036,0.033,0.003
2014,7,중구,18,39,0.2,0.031,0.032,0.003
2014,8,중구,21,29,0.4,0.022,0.032,0.002
2014,9,중구,14,29,0.3,0.021,0.038,0.004
2014,10,중구,23,34,0.5,0.015,0.036,0.005
2014,11,중구,18,43,0.8,0.014,0.037,0.007
2014,12,중구,23,43,0.8,0.012,0.029,0.007
2015,1,중구,21,47,0.7,0.012,0.031,0.008
2015,2,중구,27,85,0.8,0.016,0.039,0.008
2015,3,중구,34,72,0.5,0.022,0.044,0.007
2015,4,중구,26,46,0.4,0.026,0.042,0.005
2015,5,중구,26,45,0.4,0.034,0.039,0.005
2015,6,중구,24,34,0.5,0.041,0.032,0.004
2015,7,중구,18,30,0.5,0.026,0.022,0.003
2015,8,중구,21,34,0.4,0.028,0.022,0.004
2015,9,중구,14,26,0.4,0.025,0.033,0.005
2015,10,중구,23,43,0.7,0.021,0.042,0.006
2015,11,중구,18,31,0.7,0.012,0.037,0.005
2015,12,중구,23,45,0.8,0.009,0.048,0.006
2010,1,종로구,24,59,0.9,0.013,0.046,0.009
2010,2,종로구,30,50,0.6,0.016,0.041,0.007
2010,3,종로구,27,57,0.5,0.026,0.033,0.005
2010,4,종로구,20,49,0.4,0.027,0.037,0.005
2010,5,종로구,24,56,0.4,0.031,0.038,0.007
2010,6,종로구,28,56,0.4,0.035,0.035,0.006
2010,7,종로구,27,42,0.3,0.021,0.029,0.006
2010,8,종로구,27,39,0.3,0.017,0.031,0.006
2010,9,종로구,17,31,0.3,0.015,0.028,0.005
2010,10,종로구,24,44,0.4,0.015,0.036,0.006
2010,11,종로구,21,75,0.5,0.018,0.04,0.008
2010,12,종로구,32,44,0.5,0.014,0.028,0.008
2011,1,종로구,24,42,0.5,0.014,0.032,0.008
2011,2,종로구,30,71,0.7,0.012,0.039,0.009
2011,3,종로구,27,54,0.4,0.025,0.024,0.007
2011,4,종로구,20,58,0.4,0.027,0.032,0.007
2011,5,종로구,24,72,0.4,0.026,0.032,0.007
2011,6,종로구,28,42,0.4,0.028,0.028,0.007
2011,7,종로구,27,27,0.4,0.013,0.024,0.006
2011,8,종로구,27,26,0.3,0.015,0.021,0.006
2011,9,종로구,17,29,0.4,0.018,0.021,0.005
