측정년도,측정월,연령군,진료에피소드,미세먼지경보주의보
2016,01,0,27997,0
2016,01,1,30698,0
2016,01,2,20196,0
2016,01,3,150085,0
2016,01,4,111786,0
2016,01,5,51685,0
2016,02,0,36499,0
2016,02,1,41797,0
2016,02,2,27360,0
2016,02,3,155682,0
2016,02,4,111975,0
2016,02,5,50809,0
2016,03,0,49563,1
2016,03,1,46311,1
2016,03,2,43378,1
2016,03,3,156504,1
2016,03,4,98818,1
2016,03,5,47010,1
2016,04,0,34266,4
2016,04,1,36322,4
2016,04,2,37653,4
2016,04,3,166738,4
2016,04,4,110353,4
2016,04,5,46415,4
2016,05,0,30464,1
2016,05,1,26677,1
2016,05,2,22670,1
2016,05,3,124532,1
2016,05,4,81361,1
2016,05,5,38476,1
2016,06,0,25937,0
2016,06,1,23715,0
2016,06,2,21371,0
2016,06,3,89728,0
2016,06,4,58620,0
2016,06,5,29206,0
2016,07,0,25817,0
2016,07,1,33743,0
2016,07,2,19535,0
2016,07,3,87123,0
2016,07,4,52355,0
2016,07,5,28247,0
2016,08,0,31903,0
2016,08,1,35167,0
2016,08,2,20808,0
2016,08,3,108315,0
2016,08,4,65488,0
2016,08,5,31957,0
2016,09,0,38725,0
2016,09,1,47744,0
2016,09,2,36787,0
2016,09,3,164976,0
2016,09,4,100991,0
2016,09,5,46291,0
2016,10,0,42220,0
2016,10,1,49437,0
2016,10,2,30140,0
2016,10,3,161635,0
2016,10,4,95086,0
2016,10,5,49142,0
2016,11,0,37162,0
2016,11,1,43441,0
2016,11,2,36499,0
2016,11,3,163308,0
2016,11,4,104756,0
2016,11,5,52959,0
2016,12,0,32546,0
2016,12,1,51679,0
2016,12,2,53988,0
2016,12,3,208678,0
2016,12,4,149535,0
2016,12,5,71102,0
2017,01,0,24161,4
2017,01,1,20247,4
2017,01,2,13961,4
2017,01,3,123433,4
2017,01,4,93667,4
2017,01,5,49022,4
2017,02,0,34504,0
2017,02,1,35477,0
2017,02,2,19081,0
2017,02,3,120361,0
2017,02,4,82228,0
2017,02,5,42761,0
2017,03,0,44996,2
2017,03,1,44687,2
2017,03,2,43077,2
2017,03,3,174044,2
2017,03,4,111832,2
2017,03,5,54491,2
2017,04,0,34274,0
2017,04,1,37578,0
2017,04,2,38273,0
2017,04,3,176552,0
2017,04,4,116257,0
2017,04,5,50420,0
2017,05,0,29986,2
2017,05,1,25716,2
2017,05,2,20877,2
2017,05,3,131625,2
2017,05,4,88546,2
2017,05,5,41817,2
2017,06,0,29645,0
2017,06,1,27176,0
2017,06,2,19328,0
2017,06,3,91131,0
2017,06,4,58686,0
2017,06,5,30310,0
2017,07,0,24716,0
2017,07,1,35785,0
2017,07,2,18825,0
2017,07,3,81216,0
2017,07,4,49219,0
2017,07,5,26871,0
2017,08,0,28117,0
2017,08,1,38199,0
2017,08,2,27754,0
2017,08,3,124640,0
2017,08,4,69841,0
2017,08,5,34879,0
2017,09,0,37889,0
2017,09,1,53566,0
2017,09,2,47131,0
2017,09,3,190819,0
2017,09,4,115288,0
2017,09,5,52890,0
2017,10,0,34019,0
2017,10,1,36782,0
2017,10,2,20643,0
2017,10,3,139243,0
2017,10,4,85944,0
2017,10,5,46070,0
2017,11,0,36403,0
2017,11,1,48413,0
2017,11,2,35935,0
2017,11,3,178053,0
2017,11,4,116915,0
2017,11,5,60075,0
2017,12,0,28202,3
2017,12,1,46628,3
2017,12,2,42601,3
2017,12,3,197633,3
2017,12,4,154891,3
2017,12,5,74710,3
2018,01,0,23931,3
2018,01,1,27050,3
2018,01,2,20247,3
2018,01,3,192559,3
2018,01,4,157622,3
2018,01,5,79097,3
2018,02,0,29835,3
2018,02,1,30740,3
2018,02,2,15349,3
2018,02,3,111421,3
2018,02,4,79777,3
2018,02,5,42691,3
2018,03,0,46906,2
2018,03,1,48956,2
2018,03,2,36935,2
2018,03,3,143053,2
2018,03,4,85966,2
2018,03,5,43748,2
2018,04,0,33494,7
2018,04,1,39605,7
2018,04,2,39288,7
2018,04,3,175412,7
2018,04,4,108740,7
2018,04,5,50049,7
2018,05,0,26773,0
2018,05,1,26000,0
2018,05,2,21550,0
2018,05,3,133967,0
2018,05,4,87831,0
2018,05,5,44622,0
2018,06,0,25646,0
2018,06,1,24224,0
2018,06,2,17571,0
2018,06,3,91015,0
2018,06,4,59448,0
2018,06,5,31947,0
2018,07,0,23125,0
2018,07,1,32622,0
2018,07,2,17103,0
2018,07,3,80879,0
2018,07,4,48585,0
2018,07,5,27719,0
2018,08,0,22932,0
2018,08,1,31141,0
2018,08,2,17077,0
2018,08,3,90876,0
2018,08,4,52084,0
2018,08,5,30225,0
2018,09,0,43080,0
2018,09,1,58786,0
2018,09,2,45765,0
2018,09,3,181413,0
2018,09,4,104916,0
2018,09,5,51681,0
2018,10,0,36586,0
2018,10,1,46289,0
2018,10,2,29170,0
2018,10,3,181498,0
2018,10,4,114357,0
2018,10,5,66728,0
2018,11,0,31696,2
2018,11,1,45494,2
2018,11,2,36697,2
2018,11,3,168756,2
2018,11,4,115787,2
2018,11,5,63722,2
2018,12,0,25286,1
2018,12,1,40360,1
2018,12,2,39277,1
2018,12,3,188422,1
2018,12,4,138682,1
2018,12,5,68510,1
2019,01,0,21419,11
2019,01,1,22366,11
2019,01,2,14126,11
2019,01,3,131791,11
2019,01,4,103214,11
2019,01,5,58923,11
2019,02,0,27832,3
2019,02,1,31765,3
2019,02,2,16149,3
2019,02,3,108771,3
2019,02,4,76349,3
2019,02,5,43837,3
2019,03,0,42066,11
2019,03,1,50317,11
2019,03,2,42239,11
2019,03,3,157829,11
2019,03,4,95354,11
2019,03,5,49533,11
2019,04,0,33000,2
2019,04,1,44614,2
2019,04,2,45796,2
2019,04,3,198595,2
2019,04,4,122954,2
2019,04,5,60066,2
2019,05,0,26584,1
2019,05,1,28974,1
2019,05,2,26098,1
2019,05,3,154965,1
2019,05,4,105211,1
2019,05,5,52288,1
2019,06,0,23284,0
2019,06,1,22762,0
2019,06,2,18104,0
2019,06,3,90731,0
2019,06,4,59894,0
2019,06,5,33280,0
2019,07,0,22710,0
2019,07,1,32409,0
2019,07,2,17977,0
2019,07,3,90167,0
2019,07,4,56130,0
2019,07,5,34354,0
2019,08,0,24374,0
2019,08,1,32452,0
2019,08,2,19619,0
2019,08,3,100979,0
2019,08,4,62776,0
2019,08,5,35873,0
2019,09,0,36429,0
2019,09,1,54558,0
2019,09,2,43276,0
2019,09,3,171340,0
2019,09,4,102903,0
2019,09,5,54950,0
2019,10,0,32537,1
2019,10,1,47337,1
2019,10,2,31865,1
2019,10,3,179944,1
2019,10,4,110877,1
2019,10,5,65601,1
2019,11,0,26199,2
2019,11,1,40274,2
2019,11,2,32070,2
2019,11,3,167911,2
2019,11,4,112453,2
2019,11,5,63055,2
2019,12,0,23560,2
2019,12,1,40845,2
2019,12,2,35043,2
2019,12,3,178589,2
2019,12,4,131162,2
2019,12,5,71393,2
2020,01,0,19084,0
2020,01,1,24456,0
2020,01,2,19720,0
2020,01,3,174749,0
2020,01,4,129388,0
2020,01,5,73996,0
2020,02,0,13584,4
2020,02,1,18482,4
2020,02,2,11684,4
2020,02,3,93782,4
2020,02,4,68611,4
2020,02,5,38680,4
2020,03,0,7982,0
2020,03,1,11350,0
2020,03,2,7298,0
2020,03,3,59946,0
2020,03,4,48723,0
2020,03,5,28605,0
2020,04,0,13908,1
2020,04,1,15693,1
2020,04,2,7996,1
2020,04,3,54051,1
2020,04,4,42735,1
2020,04,5,26961,1
2020,05,0,46135,1
2020,05,1,27780,1
2020,05,2,12577,1
2020,05,3,69714,1
2020,05,4,44777,1
2020,05,5,26187,1
2020,06,0,28944,0
2020,06,1,20380,0
2020,06,2,9715,0
2020,06,3,53138,0
2020,06,4,32617,0
2020,06,5,22236,0
2020,07,0,19081,0
2020,07,1,22369,0
2020,07,2,8837,0
2020,07,3,51090,0
2020,07,4,31621,0
2020,07,5,23294,0
2020,08,0,15344,0
2020,08,1,20345,0
2020,08,2,9864,0
2020,08,3,51691,0
2020,08,4,32634,0
2020,08,5,22142,0
2020,09,0,11367,0
2020,09,1,25765,0
2020,09,2,20896,0
2020,09,3,92414,0
2020,09,4,67900,0
2020,09,5,40358,0
2020,10,0,31681,1
2020,10,1,27683,1
2020,10,2,15484,1
2020,10,3,75444,1
2020,10,4,49654,1
2020,10,5,36141,1
2020,11,0,42595,1
2020,11,1,42596,1
2020,11,2,13568,1
2020,11,3,71036,1
2020,11,4,42989,1
2020,11,5,30291,1
2020,12,0,8785,1
2020,12,1,11436,1
2020,12,2,6880,1
2020,12,3,52835,1
2020,12,4,42939,1
2020,12,5,32788,1
2021,01,0,8156,1
2021,01,1,9390,1
2021,01,2,5573,1
2021,01,3,40887,1
2021,01,4,33684,1
2021,01,5,25502,1
2021,02,0,17452,3
2021,02,1,13209,3
2021,02,2,6058,3
2021,02,3,41373,3
2021,02,4,31774,3
2021,02,5,24043,3
2021,03,0,64524,11
2021,03,1,44247,11
2021,03,2,10782,11
2021,03,3,66992,11
2021,03,4,41129,11
2021,03,5,29569,11
2021,04,0,34737,1
2021,04,1,51160,1
2021,04,2,24108,1
2021,04,3,94361,1
2021,04,4,58566,1
2021,04,5,34150,1
2021,05,0,20836,15
2021,05,1,23112,15
2021,05,2,11513,15
2021,05,3,58189,15
2021,05,4,37262,15
2021,05,5,27375,15
2021,06,0,17984,0
2021,06,1,20276,0
2021,06,2,9425,0
2021,06,3,50133,0
2021,06,4,33501,0
2021,06,5,24005,0
2021,07,0,12043,0
2021,07,1,19079,0
2021,07,2,8527,0
2021,07,3,47161,0
2021,07,4,30878,0
2021,07,5,20670,0
2021,08,0,9633,0
2021,08,1,15616,0
2021,08,2,9289,0
2021,08,3,49840,0
2021,08,4,37410,0
2021,08,5,25406,0
2021,09,0,37465,0
2021,09,1,33127,0
2021,09,2,17858,0
2021,09,3,86589,0
2021,09,4,62002,0
2021,09,5,35902,0
2021,10,0,38813,0
2021,10,1,46186,0
2021,10,2,17614,0
2021,10,3,82488,0
2021,10,4,48935,0
2021,10,5,35041,0
2021,11,0,31662,2
2021,11,1,59760,2
2021,11,2,34544,2
2021,11,3,103328,2
2021,11,4,59811,2
2021,11,5,39809,2
2021,12,0,18229,1
2021,12,1,19708,1
2021,12,2,15406,1
2021,12,3,76797,1
2021,12,4,58134,1
2021,12,5,40107,1
