측정년도,측정월,연령군,진료에피소드,미세먼지경보주의보
2016,01,0,10628,0
2016,01,1,6912,0
2016,01,2,1730,0
2016,01,3,11038,0
2016,01,4,11476,0
2016,01,5,8896,0
2016,02,0,11583,0
2016,02,1,8230,0
2016,02,2,2147,0
2016,02,3,12302,0
2016,02,4,13766,0
2016,02,5,10397,0
2016,03,0,14854,1
2016,03,1,7897,1
2016,03,2,2907,1
2016,03,3,12000,1
2016,03,4,12373,1
2016,03,5,9947,1
2016,04,0,13030,4
2016,04,1,6933,4
2016,04,2,3055,4
2016,04,3,14016,4
2016,04,4,12696,4
2016,04,5,9337,4
2016,05,0,11694,1
2016,05,1,5055,1
2016,05,2,2063,1
2016,05,3,11686,1
2016,05,4,11034,1
2016,05,5,8285,1
2016,06,0,7806,0
2016,06,1,3657,0
2016,06,2,1585,0
2016,06,3,8300,0
2016,06,4,8091,0
2016,06,5,6485,0
2016,07,0,6806,0
2016,07,1,5020,0
2016,07,2,1333,0
2016,07,3,6812,0
2016,07,4,6874,0
2016,07,5,5914,0
2016,08,0,9152,0
2016,08,1,5623,0
2016,08,2,1228,0
2016,08,3,8131,0
2016,08,4,8146,0
2016,08,5,6158,0
2016,09,0,11493,0
2016,09,1,8240,0
2016,09,2,2015,0
2016,09,3,10669,0
2016,09,4,9133,0
2016,09,5,7177,0
2016,10,0,12502,0
2016,10,1,8793,0
2016,10,2,1872,0
2016,10,3,11448,0
2016,10,4,9488,0
2016,10,5,8055,0
2016,11,0,15723,0
2016,11,1,8910,0
2016,11,2,2301,0
2016,11,3,11742,0
2016,11,4,10574,0
2016,11,5,8850,0
2016,12,0,14347,0
2016,12,1,10686,0
2016,12,2,4041,0
2016,12,3,14884,0
2016,12,4,14706,0
2016,12,5,11653,0
2017,01,0,8153,4
2017,01,1,4501,4
2017,01,2,1185,4
2017,01,3,9820,4
2017,01,4,11048,4
2017,01,5,9263,4
2017,02,0,9670,0
2017,02,1,5323,0
2017,02,2,1167,0
2017,02,3,8521,0
2017,02,4,9025,0
2017,02,5,8188,0
2017,03,0,12653,2
2017,03,1,6054,2
2017,03,2,2222,2
2017,03,3,11214,2
2017,03,4,11191,2
2017,03,5,9766,2
2017,04,0,11894,0
2017,04,1,5715,0
2017,04,2,2633,0
2017,04,3,12422,0
2017,04,4,11669,0
2017,04,5,8987,0
2017,05,0,10215,2
2017,05,1,4056,2
2017,05,2,1624,2
2017,05,3,10938,2
2017,05,4,10543,2
2017,05,5,8093,2
2017,06,0,8736,0
2017,06,1,3521,0
2017,06,2,1128,0
2017,06,3,7295,0
2017,06,4,7644,0
2017,06,5,6510,0
2017,07,0,6607,0
2017,07,1,4898,0
2017,07,2,1171,0
2017,07,3,6106,0
2017,07,4,6410,0
2017,07,5,5819,0
2017,08,0,6351,0
2017,08,1,4526,0
2017,08,2,1269,0
2017,08,3,7141,0
2017,08,4,6643,0
2017,08,5,6217,0
2017,09,0,8934,0
2017,09,1,6835,0
2017,09,2,2093,0
2017,09,3,10386,0
2017,09,4,9187,0
2017,09,5,7423,0
2017,10,0,9544,0
2017,10,1,5915,0
2017,10,2,1274,0
2017,10,3,8886,0
2017,10,4,7937,0
2017,10,5,7074,0
2017,11,0,12818,0
2017,11,1,7570,0
2017,11,2,1888,0
2017,11,3,10440,0
2017,11,4,9691,0
2017,11,5,8499,0
2017,12,0,10790,3
2017,12,1,7773,3
2017,12,2,2405,3
2017,12,3,11054,3
2017,12,4,12799,3
2017,12,5,10764,3
2018,01,0,6822,3
2018,01,1,4342,3
2018,01,2,1243,3
2018,01,3,11816,3
2018,01,4,15013,3
2018,01,5,13686,3
2018,02,0,7213,3
2018,02,1,4133,3
2018,02,2,805,3
2018,02,3,7207,3
2018,02,4,8459,3
2018,02,5,8054,3
2018,03,0,11014,2
2018,03,1,6060,2
2018,03,2,1693,2
2018,03,3,9075,2
2018,03,4,9189,2
2018,03,5,8529,2
2018,04,0,12174,7
2018,04,1,6239,7
2018,04,2,2333,7
2018,04,3,11658,7
2018,04,4,10437,7
2018,04,5,8943,7
2018,05,0,10696,0
2018,05,1,4255,0
2018,05,2,1496,0
2018,05,3,10197,0
2018,05,4,9994,0
2018,05,5,8863,0
2018,06,0,7659,0
2018,06,1,3022,0
2018,06,2,1035,0
2018,06,3,7221,0
2018,06,4,7690,0
2018,06,5,7105,0
2018,07,0,5419,0
2018,07,1,4070,0
2018,07,2,1023,0
2018,07,3,5802,0
2018,07,4,6171,0
2018,07,5,6097,0
2018,08,0,5493,0
2018,08,1,4186,0
2018,08,2,938,0
2018,08,3,6140,0
2018,08,4,6197,0
2018,08,5,6146,0
2018,09,0,9461,0
2018,09,1,7665,0
2018,09,2,2170,0
2018,09,3,9737,0
2018,09,4,7888,0
2018,09,5,7307,0
2018,10,0,10307,0
2018,10,1,7207,0
2018,10,2,1710,0
2018,10,3,11338,0
2018,10,4,9935,0
2018,10,5,9822,0
2018,11,0,12466,2
2018,11,1,8024,2
2018,11,2,2179,2
2018,11,3,11296,2
2018,11,4,10791,2
2018,11,5,10168,2
2018,12,0,10615,1
2018,12,1,7585,1
2018,12,2,2549,1
2018,12,3,12558,1
2018,12,4,12931,1
2018,12,5,10977,1
2019,01,0,6232,11
2019,01,1,4155,11
2019,01,2,1094,11
2019,01,3,9357,11
2019,01,4,10656,11
2019,01,5,10357,11
2019,02,0,6170,3
2019,02,1,4400,3
2019,02,2,900,3
2019,02,3,6981,3
2019,02,4,7716,3
2019,02,5,7611,3
2019,03,0,9477,11
2019,03,1,6461,11
2019,03,2,1982,11
2019,03,3,9479,11
2019,03,4,9098,11
2019,03,5,8942,11
2019,04,0,10438,2
2019,04,1,6430,2
2019,04,2,2680,2
2019,04,3,11652,2
2019,04,4,11047,2
2019,04,5,10037,2
2019,05,0,9849,1
2019,05,1,5090,1
2019,05,2,2259,1
2019,05,3,11807,1
2019,05,4,11138,1
2019,05,5,9294,1
2019,06,0,7670,0
2019,06,1,3294,0
2019,06,2,1141,0
2019,06,3,6857,0
2019,06,4,7494,0
2019,06,5,7186,0
2019,07,0,6391,0
2019,07,1,4660,0
2019,07,2,1070,0
2019,07,3,6289,0
2019,07,4,6434,0
