요양개시년월,진료수
201001,33738
201002,28534
201003,29193
201004,33036
201005,27254
201006,19216
201007,16951
201008,18322
201009,35044
201010,37136
201011,32999
201012,36797
201101,36568
201102,31432
201103,38017
201104,30700
201105,27899
201106,19777
201107,17537
201108,19712
201109,33693
201110,37844
201111,39996
201112,43476
201201,44971
201202,42351
201203,40649
201204,35342
201205,30798
201206,21369
201207,19511
201208,20844
201209,36471
201210,43961
201211,40459
201212,40073
201301,47645
201302,39282
201303,43634
201304,42387
201305,32485
201306,20935
201307,21466
201308,25136
201309,42924
201310,42231
201311,45057
201312,44375
201401,52887
201402,53924
201403,40979
201404,38582
201405,33652
201406,23316
201407,26157
201408,30133
201409,45613
201410,49284
201411,54137
201412,49722
201501,50145
201502,48469
201503,50532
201504,43350
201505,35497
201506,25027
201507,20869
201508,25079
201509,43855
201510,47979
201511,49576
201512,60552
201601,51685
201602,50809
201603,47010
201604,46415
201605,38476
201606,29206
201607,28247
201608,31957
201609,46291
201610,49142
201611,52959
201612,71102
201701,49022
201702,42761
201703,54491
201704,50420
201705,41817
201706,30310
201707,26871
201708,34879
201709,52890
201710,46070
201711,60075
201712,74710
201801,79097
201802,42691
201803,43748
201804,50049
201805,44622
201806,31947
201807,27719
201808,30225
201809,51681
201810,66728
201811,63722
201812,68510
201901,58923
201902,43837
201903,49533
201904,60066
201905,52288
201906,33280
201907,34354
201908,35873
201909,54950
201910,65601
201911,63055
201912,71393
202001,73996
202002,38680
202003,28605
202004,26961
202005,26187
202006,22236
202007,23294
202008,22142
202009,40358
202010,36141
202011,30291
202012,32788
202101,25502
202102,24043
202103,29569
202104,34150
202105,27375
202106,24005
202107,20670
202108,25406
202109,35902
202110,35041
202111,39809
202112,40107
