요양개시년월,주소(시도),주소(시군구),연령군,진료에피소드 건수
201001,서울특별시,강남구,0,1195
201001,서울특별시,강남구,1,1252
201001,서울특별시,강남구,2,1382
201001,서울특별시,강남구,3,8087
201001,서울특별시,강남구,4,4761
201001,서울특별시,강남구,5,1609
201001,서울특별시,강동구,0,1172
201001,서울특별시,강동구,1,1089
201001,서울특별시,강동구,2,945
201001,서울특별시,강동구,3,6437
201001,서울특별시,강동구,4,4446
201001,서울특별시,강동구,5,1307
201001,서울특별시,강북구,0,565
201001,서울특별시,강북구,1,559
201001,서울특별시,강북구,2,397
201001,서울특별시,강북구,3,2681
201001,서울특별시,강북구,4,1833
201001,서울특별시,강북구,5,869
201001,서울특별시,강서구,0,1719
201001,서울특별시,강서구,1,1615
201001,서울특별시,강서구,2,1162
201001,서울특별시,강서구,3,8318
201001,서울특별시,강서구,4,5299
201001,서울특별시,강서구,5,1687
201001,서울특별시,관악구,0,1104
201001,서울특별시,관악구,1,1082
201001,서울특별시,관악구,2,799
201001,서울특별시,관악구,3,8442
201001,서울특별시,관악구,4,4772
201001,서울특별시,관악구,5,2023
201001,서울특별시,광진구,0,741
201001,서울특별시,광진구,1,770
201001,서울특별시,광진구,2,634
201001,서울특별시,광진구,3,4775
201001,서울특별시,광진구,4,2815
201001,서울특별시,광진구,5,928
201001,서울특별시,구로구,0,1437
201001,서울특별시,구로구,1,1057
201001,서울특별시,구로구,2,676
201001,서울특별시,구로구,3,6009
201001,서울특별시,구로구,4,3854
201001,서울특별시,구로구,5,1430
201001,서울특별시,금천구,0,448
201001,서울특별시,금천구,1,478
201001,서울특별시,금천구,2,327
201001,서울특별시,금천구,3,2789
201001,서울특별시,금천구,4,1952
201001,서울특별시,금천구,5,701
201001,서울특별시,노원구,0,1468
201001,서울특별시,노원구,1,1860
201001,서울특별시,노원구,2,1630
201001,서울특별시,노원구,3,7880
201001,서울특별시,노원구,4,4995
201001,서울특별시,노원구,5,1841
201001,서울특별시,도봉구,0,815
201001,서울특별시,도봉구,1,908
201001,서울특별시,도봉구,2,722
201001,서울특별시,도봉구,3,4525
201001,서울특별시,도봉구,4,3069
201001,서울특별시,도봉구,5,1343
201001,서울특별시,동대문구,0,722
201001,서울특별시,동대문구,1,722
201001,서울특별시,동대문구,2,556
201001,서울특별시,동대문구,3,4655
201001,서울특별시,동대문구,4,2965
201001,서울특별시,동대문구,5,1304
201001,서울특별시,동작구,0,979
201001,서울특별시,동작구,1,979
201001,서울특별시,동작구,2,710
201001,서울특별시,동작구,3,6242
201001,서울특별시,동작구,4,3722
201001,서울특별시,동작구,5,1718
201001,서울특별시,마포구,0,937
201001,서울특별시,마포구,1,857
201001,서울특별시,마포구,2,569
201001,서울특별시,마포구,3,5439
201001,서울특별시,마포구,4,2862
201001,서울특별시,마포구,5,1389
201001,서울특별시,서대문구,0,814
201001,서울특별시,서대문구,1,968
201001,서울특별시,서대문구,2,664
201001,서울특별시,서대문구,3,4527
201001,서울특별시,서대문구,4,2925
201001,서울특별시,서대문구,5,1463
201001,서울특별시,서초구,0,999
201001,서울특별시,서초구,1,1026
201001,서울특별시,서초구,2,827
201001,서울특별시,서초구,3,5610
201001,서울특별시,서초구,4,3377
201001,서울특별시,서초구,5,1239
201001,서울특별시,성동구,0,627
201001,서울특별시,성동구,1,685
201001,서울특별시,성동구,2,416
201001,서울특별시,성동구,3,4120
201001,서울특별시,성동구,4,2507
201001,서울특별시,성동구,5,1047
201001,서울특별시,성북구,0,1494
201001,서울특별시,성북구,1,1355
201001,서울특별시,성북구,2,859
201001,서울특별시,성북구,3,6950
201001,서울특별시,성북구,4,4331
201001,서울특별시,성북구,5,1913
201001,서울특별시,송파구,0,1853
201001,서울특별시,송파구,1,1789
201001,서울특별시,송파구,2,1461
201001,서울특별시,송파구,3,9900
201001,서울특별시,송파구,4,5893
201001,서울특별시,송파구,5,1825
201001,서울특별시,양천구,0,1091
201001,서울특별시,양천구,1,1416
