요양개시년월,주소(시도),주소(시군구),연령군,진료에피소드 건수
201001,서울특별시,강남구,0,480
201001,서울특별시,강남구,1,195
201001,서울특별시,강남구,2,160
201001,서울특별시,강남구,3,506
201001,서울특별시,강남구,4,182
201001,서울특별시,강남구,5,62
201001,서울특별시,강동구,0,512
201001,서울특별시,강동구,1,273
201001,서울특별시,강동구,2,143
201001,서울특별시,강동구,3,379
201001,서울특별시,강동구,4,146
201001,서울특별시,강동구,5,44
201001,서울특별시,강북구,0,177
201001,서울특별시,강북구,1,93
201001,서울특별시,강북구,2,59
201001,서울특별시,강북구,3,128
201001,서울특별시,강북구,4,60
201001,서울특별시,강북구,5,28
201001,서울특별시,강서구,0,598
201001,서울특별시,강서구,1,238
201001,서울특별시,강서구,2,97
201001,서울특별시,강서구,3,329
201001,서울특별시,강서구,4,149
201001,서울특별시,강서구,5,83
201001,서울특별시,관악구,0,486
201001,서울특별시,관악구,1,211
201001,서울특별시,관악구,2,117
201001,서울특별시,관악구,3,430
201001,서울특별시,관악구,4,104
201001,서울특별시,관악구,5,72
201001,서울특별시,광진구,0,357
201001,서울특별시,광진구,1,179
201001,서울특별시,광진구,2,89
201001,서울특별시,광진구,3,254
201001,서울특별시,광진구,4,85
201001,서울특별시,광진구,5,46
201001,서울특별시,구로구,0,512
201001,서울특별시,구로구,1,172
201001,서울특별시,구로구,2,82
201001,서울특별시,구로구,3,240
201001,서울특별시,구로구,4,64
201001,서울특별시,구로구,5,35
201001,서울특별시,금천구,0,202
201001,서울특별시,금천구,1,72
201001,서울특별시,금천구,2,46
201001,서울특별시,금천구,3,137
201001,서울특별시,금천구,4,71
201001,서울특별시,금천구,5,28
201001,서울특별시,노원구,0,567
201001,서울특별시,노원구,1,262
201001,서울특별시,노원구,2,170
201001,서울특별시,노원구,3,302
201001,서울특별시,노원구,4,145
201001,서울특별시,노원구,5,67
201001,서울특별시,도봉구,0,331
201001,서울특별시,도봉구,1,193
201001,서울특별시,도봉구,2,105
201001,서울특별시,도봉구,3,210
201001,서울특별시,도봉구,4,98
201001,서울특별시,도봉구,5,42
201001,서울특별시,동대문구,0,324
201001,서울특별시,동대문구,1,190
201001,서울특별시,동대문구,2,90
201001,서울특별시,동대문구,3,227
201001,서울특별시,동대문구,4,78
201001,서울특별시,동대문구,5,67
201001,서울특별시,동작구,0,400
201001,서울특별시,동작구,1,177
201001,서울특별시,동작구,2,84
201001,서울특별시,동작구,3,307
201001,서울특별시,동작구,4,82
201001,서울특별시,동작구,5,49
201001,서울특별시,마포구,0,442
201001,서울특별시,마포구,1,170
201001,서울특별시,마포구,2,85
201001,서울특별시,마포구,3,275
201001,서울특별시,마포구,4,75
201001,서울특별시,마포구,5,44
201001,서울특별시,서대문구,0,347
201001,서울특별시,서대문구,1,182
201001,서울특별시,서대문구,2,134
201001,서울특별시,서대문구,3,357
201001,서울특별시,서대문구,4,159
201001,서울특별시,서대문구,5,89
201001,서울특별시,서초구,0,376
201001,서울특별시,서초구,1,170
201001,서울특별시,서초구,2,117
201001,서울특별시,서초구,3,397
201001,서울특별시,서초구,4,173
201001,서울특별시,서초구,5,99
