요양개시년월,진료수
201001,1480
201002,1340
201003,1644
201004,1525
201005,1517
201006,1675
201007,1822
201008,1645
201009,1604
201010,1702
201011,1659
201012,1565
201101,1598
201102,1337
201103,1745
201104,1587
201105,1659
201106,1637
201107,1795
201108,1946
201109,1795
201110,1840
201111,1637
201112,1836
201201,1748
201202,1769
201203,1848
201204,1724
201205,1990
201206,1912
201207,2035
201208,2081
201209,1894
201210,2079
201211,1909
201212,1758
201301,2021
201302,1802
201303,2017
201304,2014
201305,2237
201306,2162
201307,2507
201308,2588
201309,2152
201310,2332
201311,2098
201312,2119
201401,2065
201402,2036
201403,2284
201404,2268
201405,2534
201406,2488
201407,2754
201408,2474
201409,2579
201410,2584
201411,2288
201412,2409
201501,2398
201502,2005
201503,2571
201504,2442
201505,2631
201506,2382
201507,2848
201508,2744
201509,2557
201510,2761
201511,2322
201512,2542
201601,2416
201602,2272
201603,2600
201604,2729
201605,2926
201606,2820
201607,2951
201608,3095
201609,2693
201610,2928
201611,2629
201612,2572
201701,2500
201702,2606
201703,2812
201704,2618
201705,3183
201706,3118
201707,3301
201708,3268
201709,3413
201710,2979
201711,3053
201712,2756
201801,2798
201802,2685
201803,3004
201804,3020
201805,3219
201806,3261
201807,3708
201808,3372
201809,2908
201810,3639
201811,3007
201812,3041
201901,3213
201902,2774
201903,2947
201904,3415
201905,3730
201906,3166
201907,3776
201908,3683
201909,3518
201910,3674
201911,3355
201912,3320
202001,3170
202002,2862
202003,3106
202004,3338
202005,3541
202006,3838
202007,3660
202008,3620
202009,3648
202010,3583
202011,3097
202012,3223
202101,2759
202102,2724
202103,3417
202104,3275
202105,3279
202106,3869
202107,3825
202108,3826
202109,3712
202110,3848
202111,3439
202112,3545
