,요양개시년월,주소(시도),주소(시군구),연령군,진료에피소드 건수,초미세먼지,미세먼지,일산화탄소,오존,이산화질소,아황산가스
0,201001,서울특별시,강남구,0,442,26,63,0.8,0.008,0.05,0.007
1,201001,서울특별시,강남구,1,220,26,63,0.8,0.008,0.05,0.007
2,201001,서울특별시,강남구,2,75,26,63,0.8,0.008,0.05,0.007
3,201001,서울특별시,강남구,3,491,26,63,0.8,0.008,0.05,0.007
4,201001,서울특별시,강남구,4,438,26,63,0.8,0.008,0.05,0.007
5,201001,서울특별시,강남구,5,275,26,63,0.8,0.008,0.05,0.007
6,201001,서울특별시,강동구,0,516,27,49,0.5,0.01,0.04,0.01
7,201001,서울특별시,강동구,1,205,27,49,0.5,0.01,0.04,0.01
8,201001,서울특별시,강동구,2,55,27,49,0.5,0.01,0.04,0.01
9,201001,서울특별시,강동구,3,397,27,49,0.5,0.01,0.04,0.01
10,201001,서울특별시,강동구,4,467,27,49,0.5,0.01,0.04,0.01
11,201001,서울특별시,강동구,5,310,27,49,0.5,0.01,0.04,0.01
12,201001,서울특별시,강북구,0,343,22,54,0.9,0.015,0.049,0.01
13,201001,서울특별시,강북구,1,141,22,54,0.9,0.015,0.049,0.01
14,201001,서울특별시,강북구,2,34,22,54,0.9,0.015,0.049,0.01
15,201001,서울특별시,강북구,3,229,22,54,0.9,0.015,0.049,0.01
16,201001,서울특별시,강북구,4,278,22,54,0.9,0.015,0.049,0.01
17,201001,서울특별시,강북구,5,198,22,54,0.9,0.015,0.049,0.01
18,201001,서울특별시,강서구,0,981,27,62,0.8,0.01,0.048,0.009
19,201001,서울특별시,강서구,1,338,27,62,0.8,0.01,0.048,0.009
20,201001,서울특별시,강서구,2,66,27,62,0.8,0.01,0.048,0.009
21,201001,서울특별시,강서구,3,654,27,62,0.8,0.01,0.048,0.009
22,201001,서울특별시,강서구,4,660,27,62,0.8,0.01,0.048,0.009
23,201001,서울특별시,강서구,5,436,27,62,0.8,0.01,0.048,0.009
24,201001,서울특별시,관악구,0,518,19,64,0.9,0.009,0.044,0.006
25,201001,서울특별시,관악구,1,214,19,64,0.9,0.009,0.044,0.006
26,201001,서울특별시,관악구,2,35,19,64,0.9,0.009,0.044,0.006
27,201001,서울특별시,관악구,3,487,19,64,0.9,0.009,0.044,0.006
28,201001,서울특별시,관악구,4,425,19,64,0.9,0.009,0.044,0.006
29,201001,서울특별시,관악구,5,345,19,64,0.9,0.009,0.044,0.006
30,201001,서울특별시,광진구,0,596,24,58,0.6,0.012,0.042,0.006
31,201001,서울특별시,광진구,1,246,24,58,0.6,0.012,0.042,0.006
32,201001,서울특별시,광진구,2,57,24,58,0.6,0.012,0.042,0.006
33,201001,서울특별시,광진구,3,427,24,58,0.6,0.012,0.042,0.006
34,201001,서울특별시,광진구,4,361,24,58,0.6,0.012,0.042,0.006
35,201001,서울특별시,광진구,5,222,24,58,0.6,0.012,0.042,0.006
36,201001,서울특별시,구로구,0,583,24,62,0.9,0.01,0.043,0.006
37,201001,서울특별시,구로구,1,244,24,62,0.9,0.01,0.043,0.006
38,201001,서울특별시,구로구,2,51,24,62,0.9,0.01,0.043,0.006
39,201001,서울특별시,구로구,3,420,24,62,0.9,0.01,0.043,0.006
40,201001,서울특별시,구로구,4,483,24,62,0.9,0.01,0.043,0.006
41,201001,서울특별시,구로구,5,335,24,62,0.9,0.01,0.043,0.006
