요양개시년월,진료수
201001,7372
201002,6794
201003,7719
201004,8708
201005,8471
201006,6575
201007,5864
201008,5643
201009,7400
201010,8573
201011,8442
201012,9541
201101,9477
201102,7642
201103,8586
201104,8235
201105,8583
201106,6831
201107,5727
201108,6124
201109,7379
201110,8081
201111,8496
201112,8729
201201,11591
201202,11427
201203,10842
201204,9977
201205,8583
201206,6747
201207,5926
201208,5552
201209,7354
201210,9121
201211,8915
201212,9118
201301,11083
201302,9944
201303,10639
201304,10373
201305,8636
201306,6531
201307,6220
201308,6203
201309,7985
201310,8834
201311,9333
201312,9241
201401,10963
201402,12412
201403,9805
201404,9002
201405,8462
201406,6467
201407,6713
201408,6678
201409,7744
201410,8611
201411,9579
201412,9632
201501,10864
201502,10641
201503,11152
201504,9344
201505,7787
201506,5979
201507,5231
201508,5543
201509,6611
201510,7996
201511,8443
201512,9480
201601,8896
201602,10397
201603,9947
201604,9337
201605,8285
201606,6485
201607,5914
201608,6158
201609,7177
201610,8055
201611,8850
201612,11653
201701,9263
201702,8188
201703,9766
201704,8987
201705,8093
201706,6510
201707,5819
201708,6217
201709,7423
201710,7074
201711,8499
201712,10764
201801,13686
201802,8054
201803,8529
201804,8943
201805,8863
201806,7105
201807,6097
201808,6146
201809,7307
201810,9822
201811,10168
201812,10977
201901,10357
201902,7611
201903,8942
201904,10037
201905,9294
201906,7186
201907,7302
201908,6857
201909,7911
201910,9278
201911,9208
201912,10299
202001,11300
202002,7040
202003,5902
202004,5684
202005,5387
202006,4737
202007,4659
202008,4208
202009,5452
202010,5416
202011,5092
202012,5146
202101,4683
202102,4362
202103,5549
202104,5293
202105,4767
202106,4449
202107,3979
202108,4438
202109,4690
202110,5162
202111,5612
202112,5787
