,년도,월,count
0,2010,12,1
1,2013,12,8
2,2013,12,7
3,2013,11,7
4,2013,11,6
5,2013,12,5
6,2013,12,5
7,2013,12,4
8,2013,12,3
9,2013,12,2
10,2013,12,2
11,2013,12,1
12,2013,12,1
13,2013,12,1
14,2013,12,1
15,2013,12,1
16,2013,12,1
17,2013,12,1
18,2013,12,1
19,2013,12,1
20,2013,12,1
21,2013,12,1
22,2013,12,1
23,2013,12,1
24,2013,11,1
25,2013,11,1
26,2013,11,1
27,2013,11,1
28,2013,11,1
29,2013,11,1
30,2013,11,1
31,2013,11,1
32,2013,11,1
33,2013,12,1
34,2013,12,1
35,2013,12,1
36,2013,12,1
37,2013,3,1
38,2013,3,1
39,2013,3,1
40,2013,3,1
41,2013,12,1
42,2013,12,1
43,2013,12,1
44,2013,12,1
45,2013,12,1
46,2013,12,1
47,2013,1,1
48,2014,2,8
49,2014,12,8
50,2014,2,8
51,2014,3,8
52,2014,1,7
53,2014,3,7
54,2014,1,7
55,2014,5,6
56,2014,1,5
57,2014,1,5
58,2014,1,5
59,2014,12,5
60,2014,1,4
61,2014,1,4
62,2014,2,4
63,2014,2,4
64,2014,2,4
65,2014,1,3
66,2014,2,3
67,2014,11,1
68,2014,2,1
69,2014,2,1
70,2014,2,1
71,2014,2,1
72,2014,2,1
73,2014,12,1
74,2014,11,1
75,2014,11,1
76,2014,11,1
77,2014,11,1
78,2014,1,1
79,2014,1,1
80,2014,1,1
81,2014,1,1
82,2014,1,1
83,2014,1,1
84,2014,1,1
85,2014,1,1
86,2014,1,1
87,2014,1,1
88,2014,1,1
89,2014,1,1
90,2014,2,1
91,2014,2,1
92,2014,2,1
93,2014,2,1
94,2014,3,1
95,2014,3,1
96,2014,2,1
97,2014,2,1
98,2014,2,1
99,2014,2,1
100,2014,2,1
101,2014,2,1
102,2014,2,1
103,2014,2,1
104,2014,2,1
105,2014,2,1
106,2014,2,1
107,2014,2,1
108,2014,2,1
109,2014,2,1
110,2014,2,1
111,2014,2,1
112,2014,2,1
113,2014,2,1
114,2014,2,1
115,2014,1,1
116,2014,1,1
117,2014,3,1
118,2014,1,1
119,2014,1,1
120,2014,1,1
121,2014,1,1
122,2014,1,1
123,2014,1,1
124,2014,1,1
125,2014,1,1
126,2014,1,1
127,2014,1,1
128,2014,1,1
129,2014,1,1
130,2014,3,1
131,2014,3,1
132,2014,3,1
133,2014,8,1
134,2014,8,1
135,2014,5,1
136,2014,5,1
137,2014,4,1
138,2014,4,1
139,2014,4,1
140,2014,4,1
141,2014,4,1
142,2014,4,1
143,2014,4,1
144,2014,3,1
145,2014,3,1
146,2015,1,8
147,2015,1,7
148,2015,10,7
149,2015,2,7
150,2015,12,7
151,2015,12,7
152,2015,2,6
153,2015,2,6
154,2015,2,6
155,2015,5,6
156,2015,1,6
157,2015,11,6
158,2015,11,5
159,2015,11,5
160,2015,11,5
161,2015,10,5
162,2015,12,5
163,2015,12,4
164,2015,12,4
165,2015,10,4
166,2015,10,4
167,2015,11,4
168,2015,10,2
169,2015,12,2
170,2015,12,2
171,2015,8,2
172,2015,9,1
173,2015,8,1
174,2015,8,1
175,2015,7,1
176,2015,5,1
177,2015,5,1
178,2015,5,1
179,2015,5,1
180,2015,5,1
181,2015,5,1
182,2015,4,1
183,2015,4,1
184,2015,4,1
185,2015,3,1
186,2015,3,1
187,2015,12,1
188,2015,12,1
189,2015,12,1
190,2015,12,1
191,2015,12,1
192,2015,12,1
193,2015,12,1
194,2015,12,1
195,2015,12,1
196,2015,12,1
197,2015,12,1
198,2015,12,1
199,2015,11,1
200,2015,12,1
201,2015,12,1
202,2015,12,1
203,2015,12,1
204,2015,12,1
205,2015,12,1
206,2015,11,1
207,2015,11,1
208,2015,11,1
209,2015,11,1
210,2015,12,1
211,2015,12,1
212,2015,12,1
213,2015,12,1
214,2015,3,1
215,2015,3,1
216,2015,3,1
217,2015,3,1
218,2015,3,1
219,2015,3,1
220,2015,3,1
221,2015,3,1
222,2015,3,1
223,2015,2,1
224,2015,2,1
225,2015,2,1
226,2015,2,1
227,2015,2,1
228,2015,2,1
229,2015,2,1
230,2015,12,1
231,2015,12,1
232,2015,12,1
233,2015,12,1
234,2015,12,1
235,2015,11,1
236,2015,11,1
237,2015,10,1
238,2015,10,1
