요양개시년월,주소(시도),주소(시군구),연령군,진료에피소드 건수,초미세먼지,미세먼지,일산화탄소,오존,이산화질소,아황산가스
201001,서울특별시,강남구,0,1195,26,63,0.8,0.008,0.05,0.007
201001,서울특별시,강남구,1,1252,26,63,0.8,0.008,0.05,0.007
201001,서울특별시,강남구,2,1382,26,63,0.8,0.008,0.05,0.007
201001,서울특별시,강남구,3,8087,26,63,0.8,0.008,0.05,0.007
201001,서울특별시,강남구,4,4761,26,63,0.8,0.008,0.05,0.007
201001,서울특별시,강남구,5,1609,26,63,0.8,0.008,0.05,0.007
201001,서울특별시,강동구,0,1172,27,49,0.5,0.01,0.04,0.01
201001,서울특별시,강동구,1,1089,27,49,0.5,0.01,0.04,0.01
201001,서울특별시,강동구,2,945,27,49,0.5,0.01,0.04,0.01
201001,서울특별시,강동구,3,6437,27,49,0.5,0.01,0.04,0.01
201001,서울특별시,강동구,4,4446,27,49,0.5,0.01,0.04,0.01
201001,서울특별시,강동구,5,1307,27,49,0.5,0.01,0.04,0.01
201001,서울특별시,강북구,0,565,22,54,0.9,0.015,0.049,0.01
201001,서울특별시,강북구,1,559,22,54,0.9,0.015,0.049,0.01
201001,서울특별시,강북구,2,397,22,54,0.9,0.015,0.049,0.01
201001,서울특별시,강북구,3,2681,22,54,0.9,0.015,0.049,0.01
201001,서울특별시,강북구,4,1833,22,54,0.9,0.015,0.049,0.01
201001,서울특별시,강북구,5,869,22,54,0.9,0.015,0.049,0.01
201001,서울특별시,강서구,0,1719,27,62,0.8,0.01,0.048,0.009
201001,서울특별시,강서구,1,1615,27,62,0.8,0.01,0.048,0.009
201001,서울특별시,강서구,2,1162,27,62,0.8,0.01,0.048,0.009
201001,서울특별시,강서구,3,8318,27,62,0.8,0.01,0.048,0.009
201001,서울특별시,강서구,4,5299,27,62,0.8,0.01,0.048,0.009
201001,서울특별시,강서구,5,1687,27,62,0.8,0.01,0.048,0.009
201001,서울특별시,관악구,0,1104,19,64,0.9,0.009,0.044,0.006
201001,서울특별시,관악구,1,1082,19,64,0.9,0.009,0.044,0.006
201001,서울특별시,관악구,2,799,19,64,0.9,0.009,0.044,0.006
201001,서울특별시,관악구,3,8442,19,64,0.9,0.009,0.044,0.006
201001,서울특별시,관악구,4,4772,19,64,0.9,0.009,0.044,0.006
201001,서울특별시,관악구,5,2023,19,64,0.9,0.009,0.044,0.006
201001,서울특별시,광진구,0,741,24,58,0.6,0.012,0.042,0.006
201001,서울특별시,광진구,1,770,24,58,0.6,0.012,0.042,0.006
201001,서울특별시,광진구,2,634,24,58,0.6,0.012,0.042,0.006
201001,서울특별시,광진구,3,4775,24,58,0.6,0.012,0.042,0.006
201001,서울특별시,광진구,4,2815,24,58,0.6,0.012,0.042,0.006
201001,서울특별시,광진구,5,928,24,58,0.6,0.012,0.042,0.006
201001,서울특별시,구로구,0,1437,24,62,0.9,0.01,0.043,0.006
201001,서울특별시,구로구,1,1057,24,62,0.9,0.01,0.043,0.006
201001,서울특별시,구로구,2,676,24,62,0.9,0.01,0.043,0.006
201001,서울특별시,구로구,3,6009,24,62,0.9,0.01,0.043,0.006
201001,서울특별시,구로구,4,3854,24,62,0.9,0.01,0.043,0.006
201001,서울특별시,구로구,5,1430,24,62,0.9,0.01,0.043,0.006
201001,서울특별시,금천구,0,448,27,58,0.8,0.012,0.037,0.007
201001,서울특별시,금천구,1,478,27,58,0.8,0.012,0.037,0.007
201001,서울특별시,금천구,2,327,27,58,0.8,0.012,0.037,0.007
201001,서울특별시,금천구,3,2789,27,58,0.8,0.012,0.037,0.007
201001,서울특별시,금천구,4,1952,27,58,0.8,0.012,0.037,0.007
201001,서울특별시,금천구,5,701,27,58,0.8,0.012,0.037,0.007
201001,서울특별시,노원구,0,1468,25,55,0.8,0.012,0.045,0.009
201001,서울특별시,노원구,1,1860,25,55,0.8,0.012,0.045,0.009
201001,서울특별시,노원구,2,1630,25,55,0.8,0.012,0.045,0.009
201001,서울특별시,노원구,3,7880,25,55,0.8,0.012,0.045,0.009
201001,서울특별시,노원구,4,4995,25,55,0.8,0.012,0.045,0.009
201001,서울특별시,노원구,5,1841,25,55,0.8,0.012,0.045,0.009
201001,서울특별시,도봉구,0,815,26,56,0.8,0.015,0.039,0.007
201001,서울특별시,도봉구,1,908,26,56,0.8,0.015,0.039,0.007
201001,서울특별시,도봉구,2,722,26,56,0.8,0.015,0.039,0.007
201001,서울특별시,도봉구,3,4525,26,56,0.8,0.015,0.039,0.007
201001,서울특별시,도봉구,4,3069,26,56,0.8,0.015,0.039,0.007
201001,서울특별시,도봉구,5,1343,26,56,0.8,0.015,0.039,0.007
201001,서울특별시,동대문구,0,722,22,63,0.8,0.01,0.044,0.008
201001,서울특별시,동대문구,1,722,22,63,0.8,0.01,0.044,0.008
201001,서울특별시,동대문구,2,556,22,63,0.8,0.01,0.044,0.008
