요양개시년월,주소(시도),주소(시군구),연령군,진료에피소드 건수,초미세먼지,미세먼지,일산화탄소,오존,이산화질소,아황산가스
201001,서울특별시,강남구,0,480,26,63,0.8,0.008,0.05,0.007
201001,서울특별시,강남구,1,195,26,63,0.8,0.008,0.05,0.007
201001,서울특별시,강남구,2,160,26,63,0.8,0.008,0.05,0.007
201001,서울특별시,강남구,3,506,26,63,0.8,0.008,0.05,0.007
201001,서울특별시,강남구,4,182,26,63,0.8,0.008,0.05,0.007
201001,서울특별시,강남구,5,62,26,63,0.8,0.008,0.05,0.007
201001,서울특별시,강동구,0,512,27,49,0.5,0.01,0.04,0.01
201001,서울특별시,강동구,1,273,27,49,0.5,0.01,0.04,0.01
201001,서울특별시,강동구,2,143,27,49,0.5,0.01,0.04,0.01
201001,서울특별시,강동구,3,379,27,49,0.5,0.01,0.04,0.01
201001,서울특별시,강동구,4,146,27,49,0.5,0.01,0.04,0.01
201001,서울특별시,강동구,5,44,27,49,0.5,0.01,0.04,0.01
201001,서울특별시,강북구,0,177,22,54,0.9,0.015,0.049,0.01
201001,서울특별시,강북구,1,93,22,54,0.9,0.015,0.049,0.01
201001,서울특별시,강북구,2,59,22,54,0.9,0.015,0.049,0.01
201001,서울특별시,강북구,3,128,22,54,0.9,0.015,0.049,0.01
201001,서울특별시,강북구,4,60,22,54,0.9,0.015,0.049,0.01
201001,서울특별시,강북구,5,28,22,54,0.9,0.015,0.049,0.01
201001,서울특별시,강서구,0,598,27,62,0.8,0.01,0.048,0.009
201001,서울특별시,강서구,1,238,27,62,0.8,0.01,0.048,0.009
201001,서울특별시,강서구,2,97,27,62,0.8,0.01,0.048,0.009
201001,서울특별시,강서구,3,329,27,62,0.8,0.01,0.048,0.009
201001,서울특별시,강서구,4,149,27,62,0.8,0.01,0.048,0.009
201001,서울특별시,강서구,5,83,27,62,0.8,0.01,0.048,0.009
201001,서울특별시,관악구,0,486,19,64,0.9,0.009,0.044,0.006
201001,서울특별시,관악구,1,211,19,64,0.9,0.009,0.044,0.006
201001,서울특별시,관악구,2,117,19,64,0.9,0.009,0.044,0.006
201001,서울특별시,관악구,3,430,19,64,0.9,0.009,0.044,0.006
201001,서울특별시,관악구,4,104,19,64,0.9,0.009,0.044,0.006
201001,서울특별시,관악구,5,72,19,64,0.9,0.009,0.044,0.006
201001,서울특별시,광진구,0,357,24,58,0.6,0.012,0.042,0.006
201001,서울특별시,광진구,1,179,24,58,0.6,0.012,0.042,0.006
201001,서울특별시,광진구,2,89,24,58,0.6,0.012,0.042,0.006
201001,서울특별시,광진구,3,254,24,58,0.6,0.012,0.042,0.006
201001,서울특별시,광진구,4,85,24,58,0.6,0.012,0.042,0.006
201001,서울특별시,광진구,5,46,24,58,0.6,0.012,0.042,0.006
201001,서울특별시,구로구,0,512,24,62,0.9,0.01,0.043,0.006
201001,서울특별시,구로구,1,172,24,62,0.9,0.01,0.043,0.006
201001,서울특별시,구로구,2,82,24,62,0.9,0.01,0.043,0.006
201001,서울특별시,구로구,3,240,24,62,0.9,0.01,0.043,0.006
201001,서울특별시,구로구,4,64,24,62,0.9,0.01,0.043,0.006
201001,서울특별시,구로구,5,35,24,62,0.9,0.01,0.043,0.006
201001,서울특별시,금천구,0,202,27,58,0.8,0.012,0.037,0.007
201001,서울특별시,금천구,1,72,27,58,0.8,0.012,0.037,0.007
201001,서울특별시,금천구,2,46,27,58,0.8,0.012,0.037,0.007
201001,서울특별시,금천구,3,137,27,58,0.8,0.012,0.037,0.007
201001,서울특별시,금천구,4,71,27,58,0.8,0.012,0.037,0.007
201001,서울특별시,금천구,5,28,27,58,0.8,0.012,0.037,0.007
201001,서울특별시,노원구,0,567,25,55,0.8,0.012,0.045,0.009
