요양개시년월,연령군,합계 : 진료에피소드 건수
201001,0,9927
201001,1,4558
201001,2,2645
201001,3,7361
201001,4,2834
201001,5,1480
201002,0,8873
201002,1,4174
201002,2,2654
201002,3,7027
201002,4,2680
201002,5,1340
201003,0,11226
201003,1,5051
201003,2,2774
201003,3,8102
201003,4,3300
201003,5,1644
201004,0,9985
201004,1,4465
201004,2,2508
201004,3,7979
201004,4,3180
201004,5,1525
201005,0,10787
201005,1,4976
201005,2,3086
201005,3,8463
201005,4,3284
201005,5,1517
201006,0,12209
201006,1,5135
201006,2,2895
201006,3,8964
201006,4,3556
201006,5,1675
201007,0,10355
201007,1,6294
201007,2,3624
201007,3,9464
201007,4,3483
201007,5,1822
201008,0,8890
201008,1,6180
201008,2,3802
201008,3,9481
201008,4,3474
201008,5,1645
201009,0,9717
201009,1,4987
201009,2,3206
201009,3,8761
201009,4,3274
201009,5,1604
201010,0,9306
201010,1,4476
201010,2,2787
201010,3,8366
201010,4,3326
201010,5,1702
201011,0,8786
201011,1,4474
201011,2,2568
201011,3,7846
201011,4,3170
201011,5,1659
201012,0,9010
201012,1,4100
201012,2,2336
201012,3,7702
201012,4,3184
201012,5,1565
201101,0,10134
201101,1,4328
201101,2,2600
201101,3,7629
201101,4,2986
201101,5,1598
201102,0,8731
201102,1,3704
201102,2,2502
201102,3,6826
201102,4,2704
201102,5,1337
201103,0,11429
201103,1,4541
201103,2,2519
201103,3,8028
201103,4,3374
201103,5,1745
201104,0,9954
201104,1,4049
201104,2,2199
201104,3,7871
201104,4,3197
201104,5,1587
201105,0,11565
201105,1,4912
201105,2,2901
201105,3,8543
201105,4,3415
201105,5,1659
201106,0,10891
201106,1,4462
201106,2,2573
201106,3,8430
201106,4,3447
201106,5,1637
201107,0,9885
201107,1,6054
201107,2,3638
201107,3,9219
201107,4,3266
201107,5,1795
201108,0,9440
201108,1,6399
201108,2,4422
201108,3,10763
201108,4,3731
201108,5,1946
201109,0,9201
201109,1,4454
201109,2,2986
201109,3,8905
201109,4,3422
201109,5,1795
201110,0,8091
201110,1,3866
201110,2,2410
201110,3,7398
201110,4,3127
201110,5,1840
201111,0,7802
201111,1,3449
201111,2,2201
201111,3,7476
201111,4,2898
201111,5,1637
201112,0,9618
201112,1,4386
201112,2,2398
201112,3,8220
201112,4,3282
201112,5,1836
201201,0,8932
201201,1,3964
201201,2,2654
201201,3,7632
201201,4,3107
201201,5,1748
201202,0,9397
201202,1,3718
201202,2,2416
201202,3,7228
201202,4,3049
201202,5,1769
201203,0,9982
201203,1,3756
201203,2,2319
201203,3,7530
201203,4,3287
201203,5,1848
201204,0,8869
201204,1,3559
201204,2,2292
201204,3,7575
201204,4,3292
201204,5,1724
201205,0,11687
201205,1,5272
201205,2,3094
201205,3,9397
201205,4,3992
201205,5,1990
201206,0,10272
201206,1,3877
201206,2,2361
201206,3,8499
201206,4,3619
201206,5,1912
201207,0,9280
201207,1,5314
201207,2,3112
201207,3,9085
201207,4,3590
201207,5,2035
201208,0,8456
201208,1,5266
201208,2,3166
201208,3,9237
201208,4,3876
201208,5,2081
201209,0,7879
201209,1,3815
201209,2,2293
201209,3,7733
201209,4,3260
201209,5,1894
201210,0,8856
201210,1,4206
201210,2,2641
201210,3,8340
201210,4,3551
201210,5,2079
201211,0,8216
201211,1,3652
201211,2,2094
201211,3,7463
201211,4,3122
201211,5,1909
201212,0,8373
201212,1,3766
201212,2,2130
201212,3,7118
201212,4,3099
201212,5,1758
201301,0,9121
201301,1,3824
201301,2,2493
201301,3,7464
201301,4,3258
201301,5,2021
201302,0,8739
201302,1,3845
201302,2,2348
201302,3,7101
201302,4,3185
201302,5,1802
201303,0,9997
201303,1,4199
201303,2,2354
201303,3,7442
201303,4,3447
201303,5,2017
201304,0,9095
201304,1,3869
201304,2,2250
201304,3,7982
201304,4,3700
201304,5,2014
201305,0,10457
201305,1,4832
201305,2,2985
201305,3,9311
201305,4,4319
201305,5,2237
201306,0,10357
201306,1,4492
201306,2,2721
201306,3,9133
201306,4,4110
201306,5,2162
201307,0,9370
201307,1,6116
201307,2,3537
201307,3,10349
201307,4,4370
201307,5,2507
201308,0,8523
201308,1,6093
201308,2,3774
201308,3,11419
201308,4,4682
201308,5,2588
201309,0,7716
201309,1,3985
201309,2,2310
201309,3,8160
201309,4,3833
201309,5,2152
201310,0,7908
201310,1,3848
201310,2,2401
201310,3,8143
201310,4,4053
201310,5,2332
201311,0,7160
201311,1,3604
201311,2,2225
201311,3,7677
201311,4,3408
201311,5,2098
201312,0,7398
201312,1,3537
201312,2,2019
201312,3,7580
201312,4,3379
201312,5,2119
201401,0,7917
201401,1,3812
201401,2,2470
201401,3,7530
201401,4,3397
201401,5,2065
201402,0,7650
201402,1,3648
201402,2,2377
201402,3,7708
201402,4,3372
201402,5,2036
201403,0,8913
201403,1,3792
201403,2,2309
201403,3,8112
201403,4,3571
201403,5,2284
