년도,월,언급량
2010,1,0
2010,2,0
2010,3,0
2010,4,0
2010,5,0
2010,6,0
2010,7,0
2010,8,0
2010,9,0
2010,10,0
2010,11,0
2010,12,1
2011,1,0
2011,2,5
2011,3,0
2011,4,0
2011,5,0
2011,6,0
2011,7,0
2011,8,0
2011,9,4
2011,10,0
2011,11,1
2011,12,0
2012,1,0
2012,2,0
2012,3,0
2012,4,0
2012,5,0
2012,6,0
2012,7,0
2012,8,1
2012,9,0
2012,10,0
2012,11,0
2012,12,0
2013,1,1
2013,2,0
2013,3,4
2013,4,0
2013,5,4
2013,6,0
2013,7,0
2013,8,0
2013,9,0
2013,10,0
2013,11,33
2013,12,75
2014,1,75
2014,2,70
2014,3,36
2014,4,21
2014,5,9
2014,6,4
2014,7,1
2014,8,7
2014,9,5
2014,10,4
2014,11,5
2014,12,14
2015,1,32
2015,2,33
2015,3,14
2015,4,4
2015,5,15
2015,6,0
2015,7,1
2015,8,5
2015,9,1
2015,10,46
2015,11,51
2015,12,67
2016,1,37
2016,2,13
2016,3,57
2016,4,78
2016,5,80
2016,6,17
2016,7,2
2016,8,1
2016,9,40
2016,10,48
2016,11,81
2016,12,59
2017,1,75
2017,2,32
2017,3,63
2017,4,115
2017,5,95
2017,6,27
2017,7,32
2017,8,1
2017,9,54
2017,10,15
2017,11,42
2017,12,16
2018,1,68
2018,2,65
2018,3,87
2018,4,102
2018,5,79
2018,6,27
2018,7,9
2018,8,0
2018,9,4
2018,10,42
2018,11,145
2018,12,93
2019,1,133
2019,2,148
2019,3,157
2019,4,47
2019,5,93
2019,6,39
2019,7,6
2019,8,8
2019,9,3
2019,10,40
2019,11,60
2019,12,95
2020,1,109
2020,2,79
2020,3,50
2020,4,26
2020,5,35
2020,6,5
2020,7,0
2020,8,1
2020,9,8
2020,10,33
2020,11,67
2020,12,66
2021,1,24
2021,2,60
2021,3,84
2021,4,32
2021,5,26
2021,6,6
2021,7,1
2021,8,2
2021,9,3
2021,10,18
2021,11,38
2021,12,49
