요양개시년월,연령군,합계 : 진료에피소드 건수
201001,0,13994
201001,1,6005
201001,2,1448
201001,3,10502
201001,4,10662
201001,5,7372
201002,0,13241
201002,1,6891
201002,2,1430
201002,3,8242
201002,4,8902
201002,5,6794
201003,0,19622
201003,1,11550
201003,2,4562
201003,3,11051
201003,4,10088
201003,5,7719
201004,0,20324
201004,1,13270
201004,2,5065
201004,3,14460
201004,4,12577
201004,5,8708
201005,0,21293
201005,1,9013
201005,2,3398
201005,3,14196
201005,4,12910
201005,5,8471
201006,0,16777
201006,1,5118
201006,2,2336
201006,3,10177
201006,4,9882
201006,5,6575
201007,0,12232
201007,1,6141
201007,2,1743
201007,3,7826
201007,4,7747
201007,5,5864
201008,0,10142
201008,1,5588
201008,2,1430
201008,3,6934
201008,4,6870
201008,5,5643
201009,0,16642
201009,1,12067
201009,2,3566
201009,3,12209
201009,4,9827
201009,5,7400
201010,0,20583
201010,1,14335
201010,2,3217
201010,3,14375
201010,4,11448
201010,5,8573
201011,0,21384
201011,1,13568
201011,2,3768
201011,3,13284
201011,4,11814
201011,5,8442
201012,0,19304
201012,1,13510
201012,2,4812
201012,3,16754
201012,4,16050
201012,5,9541
201101,0,13307
201101,1,6626
201101,2,1668
201101,3,12293
201101,4,13867
201101,5,9477
201102,0,12440
201102,1,6728
201102,2,1590
201102,3,8530
201102,4,9674
201102,5,7642
201103,0,17801
201103,1,8626
201103,2,2839
201103,3,10884
201103,4,11297
201103,5,8586
201104,0,18936
201104,1,8529
201104,2,3136
201104,3,12264
201104,4,11553
201104,5,8235
201105,0,19760
201105,1,8260
201105,2,3059
201105,3,12946
201105,4,12649
201105,5,8583
201106,0,14173
201106,1,5602
201106,2,2130
201106,3,9704
201106,4,9670
201106,5,6831
201107,0,11466
201107,1,8361
201107,2,2230
201107,3,7397
201107,4,7287
201107,5,5727
201108,0,15054
201108,1,12286
201108,2,2662
201108,3,8592
201108,4,7585
201108,5,6124
201109,0,20256
201109,1,17606
201109,2,5393
201109,3,13977
201109,4,10408
201109,5,7379
201110,0,22719
201110,1,14694
201110,2,3916
201110,3,14393
201110,4,10912
201110,5,8081
201111,0,19040
201111,1,11461
201111,2,3311
201111,3,13072
201111,4,11335
201111,5,8496
201112,0,15025
201112,1,10552
201112,2,3307
201112,3,12920
201112,4,11981
201112,5,8729
201201,0,15185
201201,1,9187
201201,2,2251
201201,3,13890
201201,4,14587
201201,5,11591
201202,0,13839
201202,1,9392
201202,2,2361
201202,3,12718
201202,4,14218
201202,5,11427
201203,0,18403
201203,1,9425
201203,2,3509
201203,3,14116
201203,4,14433
201203,5,10842
201204,0,18669
201204,1,7875
201204,2,3256
201204,3,14868
201204,4,14450
201204,5,9977
201205,0,17613
201205,1,6281
201205,2,3191
201205,3,14669
201205,4,13107
201205,5,8583
201206,0,10402
201206,1,3350
201206,2,1641
201206,3,9354
201206,4,8957
201206,5,6747
201207,0,10929
201207,1,5455
201207,2,1263
201207,3,7278
201207,4,7050
201207,5,5926
201208,0,13579
201208,1,5822
201208,2,1322
201208,3,7213
201208,4,6599
201208,5,5552
201209,0,17226
201209,1,11186
201209,2,3394
201209,3,12815
201209,4,9811
201209,5,7354
201210,0,18211
201210,1,10754
201210,2,2465
201210,3,14128
201210,4,11558
201210,5,9121
201211,0,17868
201211,1,10158
201211,2,3088
201211,3,12895
201211,4,11133
201211,5,8915
201212,0,11585
201212,1,7332
201212,2,2414
201212,3,11638
201212,4,11861
201212,5,9118
201301,0,12288
201301,1,6777
201301,2,1777
201301,3,13034
201301,4,14540
201301,5,11083
201302,0,14258
201302,1,8035
201302,2,2069
201302,3,11449
201302,4,12397
201302,5,9944
201303,0,17391
201303,1,8299
201303,2,3222
201303,3,13875
201303,4,14042
201303,5,10639
201304,0,15158
201304,1,6897
201304,2,3585
201304,3,14993
201304,4,14469
201304,5,10373
201305,0,13849
201305,1,6367
201305,2,3121
201305,3,14122
201305,4,12992
201305,5,8636
201306,0,11076
201306,1,4150
201306,2,1886
201306,3,9040
201306,4,8426
201306,5,6531
201307,0,9599
201307,1,5919
201307,2,1465
201307,3,7462
201307,4,7045
201307,5,6220
201308,0,11891
201308,1,6422
201308,2,1501
201308,3,8205
201308,4,7231
201308,5,6203
201309,0,16115
201309,1,9976
201309,2,3176
201309,3,12983
201309,4,10514
201309,5,7985
201310,0,16964
201310,1,10085
201310,2,2433
201310,3,13336
201310,4,11004
201310,5,8834
201311,0,13537
201311,1,8732
201311,2,2608
201311,3,13063
201311,4,11908
201311,5,9333
201312,0,10763
201312,1,7260
201312,2,2364
201312,3,11691
201312,4,11862
201312,5,9241
201401,0,10606
201401,1,7213
201401,2,2218
201401,3,14175
201401,4,14085
201401,5,10963
201402,0,11469
201402,1,9710
201402,2,3387
201402,3,14980
201402,4,15830
201402,5,12412
201403,0,15071
201403,1,7051
201403,2,2381
201403,3,12632
201403,4,13083
201403,5,9805
201404,0,18109
201404,1,9288
201404,2,3469
201404,3,14340
201404,4,12878
201404,5,9002
201405,0,13553
201405,1,5486
201405,2,2139
201405,3,12289
201405,4,11349
201405,5,8462
201406,0,10641
201406,1,4079
201406,2,1604
201406,3,8764
201406,4,8181
201406,5,6467
201407,0,10000
