,년도,월,count
0,2011,2,5
1,2011,9,4
2,2011,11,1
3,2012,8,1
4,2013,11,5
5,2013,11,5
6,2013,12,5
7,2013,5,4
8,2013,12,4
9,2013,12,4
10,2013,12,1
11,2013,12,1
12,2013,12,1
13,2013,11,1
14,2014,3,5
15,2014,4,5
16,2014,8,5
17,2014,2,5
18,2014,3,5
19,2014,1,4
20,2014,1,4
21,2014,9,4
22,2014,10,4
23,2014,6,4
24,2014,2,4
25,2014,4,4
26,2014,4,4
27,2014,9,1
28,2014,7,1
29,2014,5,1
30,2014,4,1
31,2014,3,1
32,2014,3,1
33,2014,3,1
34,2014,2,1
35,2014,2,1
36,2014,1,1
37,2015,1,5
38,2015,11,4
39,2015,11,4
40,2015,12,4
41,2015,5,3
42,2015,3,3
43,2015,12,3
44,2015,10,3
45,2015,8,1
46,2015,4,1
47,2015,2,1
48,2015,12,1
49,2015,12,1
50,2015,11,1
51,2015,11,1
52,2015,10,1
53,2016,11,5
54,2016,4,4
55,2016,4,4
56,2016,9,4
57,2016,4,4
58,2016,3,4
59,2016,3,4
60,2016,3,4
61,2016,4,4
62,2016,3,4
63,2016,12,4
64,2016,12,4
65,2016,12,4
66,2016,11,4
67,2016,9,4
68,2016,9,4
69,2016,5,4
70,2016,5,4
71,2016,5,4
72,2016,10,4
73,2016,10,4
74,2016,10,4
75,2016,11,3
76,2016,4,3
77,2016,4,3
78,2016,4,3
79,2016,4,3
80,2016,2,3
81,2016,12,3
82,2016,10,3
83,2016,5,3
84,2016,1,3
85,2016,4,3
86,2016,5,3
87,2016,6,3
88,2016,6,3
89,2016,5,3
90,2016,6,3
91,2016,5,3
92,2016,5,2
93,2016,4,2
94,2016,4,1
95,2016,2,1
96,2016,12,1
97,2016,12,1
98,2016,12,1
99,2016,12,1
100,2016,11,1
101,2016,3,1
102,2016,4,1
103,2016,4,1
104,2016,7,1
105,2016,7,1
106,2016,6,1
107,2016,5,1
108,2016,5,1
109,2016,5,1
110,2016,5,1
111,2017,11,4
112,2017,2,4
113,2017,2,3
114,2017,3,3
115,2017,3,3
116,2017,3,3
117,2017,6,3
118,2017,5,3
119,2017,5,3
120,2017,4,3
121,2017,4,3
122,2017,6,3
123,2017,1,3
124,2017,1,2
125,2017,9,2
126,2017,11,2
127,2017,6,2
128,2017,5,2
129,2017,6,2
130,2017,5,2
131,2017,4,2
132,2017,4,2
133,2017,4,2
134,2017,5,2
135,2017,5,2
136,2017,9,1
137,2017,6,1
138,2017,6,1
139,2017,6,1
140,2017,6,1
141,2017,6,1
142,2017,5,1
143,2017,5,1
144,2017,5,1
145,2017,5,1
146,2017,5,1
147,2017,5,1
148,2017,5,1
149,2017,5,1
150,2017,5,1
151,2017,5,1
152,2017,5,1
153,2017,5,1
154,2017,4,1
155,2017,4,1
156,2017,4,1
157,2017,4,1
158,2017,4,1
159,2017,4,1
160,2017,4,1
161,2017,4,1
162,2017,4,1
163,2017,4,1
164,2017,4,1
165,2017,3,1
166,2017,6,1
167,2017,9,1
168,2017,3,1
169,2017,9,1
170,2017,9,1
171,2017,9,1
172,2017,9,1
173,2017,3,1
174,2017,3,1
175,2017,3,1
176,2017,3,1
177,2017,3,1
178,2017,3,1
179,2017,2,1
180,2017,2,1
181,2017,2,1
182,2017,12,1
183,2017,12,1
184,2017,12,1
185,2017,11,1
186,2017,11,1
187,2017,11,1
188,2017,11,1
189,2017,10,1
190,2017,10,1
191,2017,1,1
192,2017,1,1
193,2017,1,1
194,2017,1,1
195,2017,1,1
196,2017,1,1
197,2017,1,1
198,2018,5,4
199,2018,11,4
200,2018,12,4
201,2018,4,4
202,2018,12,4
203,2018,5,3
204,2018,5,3
205,2018,7,3
206,2018,5,3
207,2018,5,3
208,2018,3,3
209,2018,2,3
210,2018,10,3
211,2018,10,3
212,2018,11,2
213,2018,12,2
214,2018,6,2
215,2018,6,2
216,2018,6,2
217,2018,2,2
218,2018,4,2
219,2018,5,2
220,2018,3,2
221,2018,9,1
222,2018,11,1
223,2018,11,1
224,2018,10,1
225,2018,10,1
226,2018,10,1
227,2018,10,1
228,2018,10,1
229,2018,10,1
230,2018,10,1
231,2018,1,1
232,2018,1,1
233,2018,1,1
234,2018,1,1
235,2018,1,1
236,2018,1,1
237,2018,1,1
238,2018,1,1
239,2018,1,1
240,2018,1,1
241,2018,1,1
242,2018,1,1
243,2018,1,1
244,2018,1,1
245,2018,1,1
246,2018,1,1
247,2018,1,1
248,2018,11,1
249,2018,11,1
250,2018,11,1
251,2018,9,1
252,2018,7,1
253,2018,7,1
254,2018,6,1
255,2018,6,1
256,2018,6,1
257,2018,5,1
258,2018,5,1
259,2018,5,1
260,2018,5,1
261,2018,5,1
262,2018,5,1
263,2018,5,1
264,2018,5,1
265,2018,5,1
266,2018,11,1
267,2018,2,1
268,2018,2,1
269,2018,2,1
270,2018,2,1
271,2018,2,1
272,2018,12,1
273,2018,12,1
274,2018,12,1
275,2018,12,1
276,2018,12,1
277,2018,12,1
278,2018,12,1
279,2018,12,1
280,2018,12,1
281,2018,12,1
282,2018,12,1
283,2018,11,1
284,2018,11,1
285,2018,11,1
286,2018,11,1
287,2018,11,1
288,2018,11,1
289,2018,11,1
290,2018,11,1
291,2018,11,1
292,2018,11,1
293,2018,11,1
294,2018,11,1
295,2018,11,1
296,2018,11,1
297,2018,2,1
298,2018,2,1
299,2018,5,1
300,2018,2,1
301,2018,5,1
302,2018,5,1
303,2018,5,1
304,2018,4,1
305,2018,4,1
306,2018,4,1
307,2018,4,1
308,2018,4,1
309,2018,4,1
310,2018,4,1
311,2018,4,1
312,2018,3,1
313,2018,3,1
314,2018,3,1
315,2018,3,1
316,2018,3,1
317,2018,3,1
318,2018,3,1
319,2018,3,1
320,2018,3,1
321,2018,3,1
322,2018,3,1
323,2018,3,1
324,2018,3,1
325,2018,3,1
326,2018,3,1
327,2018,3,1
328,2018,2,1
329,2018,2,1
330,2019,5,4
331,2019,5,4
332,2019,12,4
333,2019,3,4
334,2019,10,4
335,2019,3,4
336,2019,2,4
337,2019,5,4
338,2019,6,4
339,2019,2,4
340,2019,5,4
341,2019,12,4
342,2019,2,4
343,2019,1,3
344,2019,1,3
345,2019,1,3
346,2019,3,3
347,2019,6,3
348,2019,12,3
349,2019,3,3
350,2019,12,3
351,2019,2,3
352,2019,6,3
353,2019,2,3
354,2019,3,3
355,2019,2,2
356,2019,5,2
357,2019,10,2
358,2019,2,2
359,2019,5,2
360,2019,4,1
361,2019,6,1
362,2019,6,1
363,2019,4,1
364,2019,4,1
365,2019,6,1
366,2019,5,1
367,2019,5,1
368,2019,5,1
369,2019,5,1
370,2019,5,1
371,2019,5,1
372,2019,5,1
373,2019,5,1
374,2019,5,1
375,2019,5,1
376,2019,4,1
377,2019,2,1
378,2019,3,1
379,2019,3,1
380,2019,3,1
381,2019,3,1
382,2019,3,1
383,2019,3,1
384,2019,3,1
385,2019,3,1
386,2019,3,1
387,2019,3,1
388,2019,3,1
389,2019,2,1
390,2019,3,1
391,2019,2,1
392,2019,2,1
393,2019,2,1
394,2019,2,1
395,2019,2,1
396,2019,2,1
397,2019,2,1
398,2019,2,1
399,2019,2,1
400,2019,2,1
401,2019,2,1
402,2019,3,1
403,2019,3,1
404,2019,4,1
405,2019,3,1
406,2019,4,1
407,2019,4,1
408,2019,4,1
409,2019,4,1
410,2019,4,1
411,2019,4,1
412,2019,3,1
413,2019,3,1
414,2019,3,1
415,2019,3,1
416,2019,3,1
417,2019,3,1
418,2019,3,1
419,2019,3,1
420,2019,3,1
421,2019,3,1
422,2019,3,1
423,2019,3,1
424,2019,3,1
425,2019,3,1
426,2019,3,1
427,2019,3,1
428,2019,6,1
429,2019,3,1
430,2019,3,1
431,2019,6,1
432,2019,6,1
433,2019,9,1
434,2019,9,1
435,2019,8,1
436,2019,8,1
437,2019,8,1
438,2019,7,1
439,2019,7,1
440,2019,7,1
441,2019,6,1
442,2019,6,1
443,2019,2,1
444,2019,2,1
445,2019,2,1
446,2019,2,1
447,2019,11,1
448,2019,11,1
449,2019,10,1
450,2019,10,1
451,2019,1,1
452,2019,1,1
453,2019,1,1
454,2019,1,1
455,2019,1,1
456,2019,1,1
457,2019,1,1
458,2019,1,1
459,2019,1,1
460,2019,1,1
461,2019,1,1
462,2019,1,1
463,2019,1,1
464,2019,1,1
465,2019,11,1
466,2019,11,1
467,2019,11,1
468,2019,2,1
469,2019,2,1
470,2019,2,1
471,2019,2,1
472,2019,12,1
473,2019,12,1
474,2019,12,1
475,2019,12,1
476,2019,12,1
477,2019,12,1
478,2019,12,1
479,2019,12,1
480,2019,12,1
481,2019,12,1
482,2019,12,1
483,2019,12,1
484,2019,12,1
485,2019,12,1
486,2019,12,1
487,2019,11,1
488,2019,11,1
489,2019,11,1
490,2019,11,1
491,2019,11,1
492,2019,11,1
493,2019,11,1
494,2019,11,1
495,2019,11,1
496,2019,11,1
497,2020,5,4
498,2020,5,4
499,2020,9,4
500,2020,1,4
501,2020,1,4
502,2020,1,4
503,2020,1,4
504,2020,3,4
505,2020,2,4
506,2020,2,4
507,2020,3,4
508,2020,12,4
509,2020,11,4
510,2020,1,3
511,2020,2,3
512,2020,12,3
513,2020,12,3
514,2020,2,3
515,2020,3,3
516,2020,4,3
517,2020,11,3
518,2020,3,3
519,2020,3,3
520,2020,4,3
521,2020,11,3
522,2020,2,3
523,2020,5,3
524,2020,3,3
525,2020,2,3
526,2020,1,3
527,2020,1,3
528,2020,1,3
529,2020,1,3
530,2020,2,2
531,2020,1,2
532,2020,5,2
533,2020,10,2
534,2020,5,2
535,2020,11,2
536,2020,5,2
537,2020,12,2
538,2020,2,1
539,2020,9,1
540,2020,9,1
541,2020,6,1
542,2020,6,1
543,2020,6,1
544,2020,6,1
545,2020,5,1
546,2020,5,1
547,2020,11,1
548,2020,11,1
549,2020,11,1
550,2020,11,1
551,2020,11,1
552,2020,10,1
553,2020,10,1
554,2020,10,1
555,2020,10,1
556,2020,10,1
557,2020,10,1
558,2020,10,1
559,2020,1,1
560,2020,1,1
561,2020,1,1
562,2020,1,1
563,2020,11,1
564,2020,11,1
565,2020,5,1
566,2020,11,1
567,2020,5,1
568,2020,4,1
569,2020,4,1
570,2020,4,1
571,2020,4,1
572,2020,4,1
573,2020,4,1
574,2020,3,1
575,2020,3,1
576,2020,3,1
577,2020,3,1
578,2020,2,1
579,2020,2,1
580,2020,2,1
581,2020,2,1
582,2020,2,1
583,2020,2,1
584,2020,12,1
585,2020,12,1
586,2020,12,1
587,2020,12,1
588,2020,12,1
589,2020,12,1
590,2020,11,1
591,2021,11,4
592,2021,10,4
593,2021,10,4
594,2021,2,4
595,2021,2,4
596,2021,2,4
597,2021,3,4
598,2021,3,4
599,2021,3,3
600,2021,3,3
601,2021,2,3
602,2021,2,3
603,2021,5,2
604,2021,10,2
605,2021,6,2
606,2021,10,1
607,2021,2,1
608,2021,2,1
609,2021,2,1
610,2021,2,1
611,2021,12,1
612,2021,12,1
613,2021,12,1
614,2021,11,1
615,2021,11,1
616,2021,11,1
617,2021,11,1
618,2021,11,1
619,2021,10,1
620,2021,10,1
621,2021,1,1
622,2021,1,1
623,2021,1,1
624,2021,1,1
625,2021,1,1
626,2021,1,1
627,2021,2,1
628,2021,2,1
629,2021,2,1
630,2021,3,1
631,2021,9,1
632,2021,8,1
633,2021,8,1
634,2021,7,1
635,2021,6,1
636,2021,5,1
637,2021,5,1
638,2021,5,1
639,2021,5,1
640,2021,5,1
641,2021,4,1
642,2021,4,1
643,2021,4,1
644,2021,3,1
645,2021,3,1
646,2021,3,1
647,2021,3,1
648,2021,3,1
649,2021,3,1
650,2021,3,1
651,2021,3,1
652,2021,3,1
653,2021,3,1
654,2021,3,1
655,2021,3,1
656,2021,9,1
